Company Name,Website URL,Yellow Page URL,Contact Number,Location/Address,Industry/Category,Company Description,Email Address
Geeks On Site,No company URL,https://www.yellowpages.com/nationwide/mip/geeks-on-site-23196657?lid=1002160598919,Phone no not disclosed,"Street not Mentioned, Locality not mentioned",Computers & Computer Equipment-Service & Repair,Description not available,
AAA All Voice And Data Inc.,No company URL,https://www.yellowpages.com/brooklyn-ny/mip/aaa-all-voice-and-data-inc-472737765?lid=1002192648293,Phone no not disclosed,"Street not Mentioned, Locality not mentioned","Computer Cable & Wire Installation, Computer System Designers & Consultants",Description not available,
My Computer Works,No company URL,https://www.yellowpages.com/nationwide/mip/my-computer-works-533468437?lid=1002054064467,(888) 840-0484,"Street not Mentioned, Locality not mentioned","Computer Technical Assistance & Support Services, Computer Service & Repair-Business, Computer Software & Services","Nice support from their office thanks for everything i will visit them again for sure. Great service.""",
Geeks On Site,No company URL,https://www.yellowpages.com/nationwide/mip/geeks-on-site-23196657?lid=1002160598919,(800) 531-2349,"Street not Mentioned, Locality not mentioned",Computers & Computer Equipment-Service & Repair,"From Business: If you are in a crunch, Geeks on Site can help you get things back up and running quickly with extensive PC repair service. Depending on your issue, we can…",
My Computer Works,No company URL,https://www.yellowpages.com/nationwide/mip/my-computer-works-566956972?lid=1002089988953,(877) 201-0623,"Street not Mentioned, Locality not mentioned",Computers & Computer Equipment-Service & Repair,"From Business: Our professional and polite U.S. based technicians can solve your PC or MAC problems, and their devices from the comfort of your own home. Through remote…",
Geeks on Site,No company URL,https://www.yellowpages.com/nationwide/mip/geeks-on-site-531845374?lid=1002149559480,(877) 223-4607,"Street not Mentioned, Locality not mentioned","Computer Software & Services, Computer Printers & Supplies, Home Theater Systems","From Business: With over 20 years of experience Geeks OnSite offers everything from computer and printer repair, software sales and service, home theater installation, home…",
Jean Martin Insurance Inc,https://www.jeanmartin.com/contact.html,https://www.yellowpages.com/new-york-ny/mip/jean-martin-insurance-inc-534883875?lid=1002179427857,(833) 277-0597,"551 5Th Avenue, Suite 1425, New York, NY 10176","Concrete Contractors, Computer Technical Assistance & Support Services, Septic Tanks & Systems",Description not available,
EgeekPRO INC,No company URL,https://www.yellowpages.com/new-york-ny/mip/egeekpro-inc-523936481?lid=1001649870570,(212) 388-5943,"42 Broadway, New York, NY 10004","Computers & Computer Equipment-Service & Repair, Telephone Equipment & Systems-Repair & Service, Mobile Device Repair","They are just excellent. I am satisfied with their services, quality of the products and skills of repairing all kind of phones like I phones, Samsung and all latest phones.""",
SourceCom Communications,No company URL,https://www.yellowpages.com/new-york-ny/mip/sourcecom-communications-511970508?lid=1001572780119,(844) 768-7240,"275 Madison Ave, New York, NY 10016","Utility Companies, Telephone Companies, Computers & Computer Equipment-Service & Repair","From Business: WE ARE A BUSINESS TO BUSINESS SERVICE PROVIDER. SourceCom Communications is your source for all communication needs. Your source for cable, data, voice,…",
Computer Overhauls,http://www.computeroverhauls.com,https://www.yellowpages.com/new-york-ny/mip/computer-overhauls-1323061,(212) 216-9711,"7 Penn Plz Ste 749, New York, NY 10001","Computer & Equipment Dealers, Consumer Electronics, Computers & Computer Equipment-Service & Repair","I was reluctant to order an overhauled computer, but when my Apple arrived right on time in perfect condition I was relieved.  This computer is amazing and I couldn't be…",
